SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
TARMAT, EQ, 25-Jun-2019, 32.15, 32.40, 32.40, 30.40, 31.40, 31.70, 31.32, 8977, 2.81, 112, 3612, 40.24
TASTYBITE, EQ, 25-Jun-2019, 9503.20, 9540.00, 9600.00, 9301.00, 9600.00, 9564.25, 9496.00, 444, 42.16, 186, 316, 71.17
TATACHEM, EQ, 25-Jun-2019, 611.40, 607.55, 621.75, 601.40, 617.25, 615.80, 611.72, 948616, 5802.91, 21996, 327013, 34.47
TATACOFFEE, EQ, 25-Jun-2019, 79.70, 79.50, 80.90, 78.20, 79.95, 80.05, 79.30, 155675, 123.45, 2007, 44783, 28.77
TATACOMM, EQ, 25-Jun-2019, 479.10, 474.60, 490.75, 465.30, 485.00, 486.05, 474.49, 554056, 2628.96, 13747, 299173, 54.00
TATAELXSI, EQ, 25-Jun-2019, 851.60, 850.65, 864.95, 847.50, 856.95, 858.10, 857.15, 245651, 2105.59, 13810, 41209, 16.78
TATAGLOBAL, EQ, 25-Jun-2019, 259.95, 260.00, 260.70, 256.85, 258.80, 259.15, 258.80, 1699986, 4399.55, 13993, 396757, 23.34
TATAINVEST, EQ, 25-Jun-2019, 851.45, 852.10, 853.90, 849.05, 851.10, 852.25, 850.21, 9160, 77.88, 407, 7772, 84.85
TATAMETALI, EQ, 25-Jun-2019, 606.85, 601.55, 608.75, 600.70, 602.00, 601.30, 601.89, 6877, 41.39, 567, 2997, 43.58
TATAMOTORS, EQ, 25-Jun-2019, 159.30, 158.00, 161.00, 156.85, 160.35, 160.45, 159.27, 13368928, 21293.23, 68267, 1486819, 11.12
TATAMTRDVR, EQ, 25-Jun-2019, 77.70, 76.70, 78.30, 76.35, 77.90, 77.95, 77.51, 3958246, 3068.06, 23280, 782659, 19.77
TATAPOWER, EQ, 25-Jun-2019, 65.05, 65.00, 67.55, 64.75, 66.85, 66.30, 66.45, 8164192, 5425.45, 21369, 3454185, 42.31
TATASPONGE, EQ, 25-Jun-2019, 548.90, 548.50, 549.75, 536.00, 542.00, 541.25, 543.72, 67061, 364.62, 3446, 24129, 35.98
TATASTEEL, E1, 25-Jun-2019, 59.80, 59.50, 62.70, 57.00, 62.50, 62.35, 60.32, 420032, 253.36, 2441, 190625, 45.38
TATASTEEL, EQ, 25-Jun-2019, 486.25, 474.00, 499.80, 473.95, 496.10, 498.00, 489.36, 13649119, 66793.34, 148439, 1882336, 13.79
