SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
L&TFINANCE, NW, 18-Jul-2019, 1028.25, 1065.00, 1070.00, 1063.00, 1063.00, 1064.73, 1064.74, 228, 2.43, 9, 200, 87.72
L&TINFRA, N1, 18-Jul-2019, 1012.61, 1013.00, 1015.00, 1013.00, 1015.00, 1015.00, 1014.67, 30, 0.30, 2, 30, 100.00
L&TINFRA, N2, 18-Jul-2019, 1831.00, 1831.00, 1840.20, 1831.00, 1840.20, 1840.20, 1834.68, 50, 0.92, 5, 50, 100.00
L&TINFRA, N3, 18-Jul-2019, 1008.50, 1013.01, 1013.01, 1013.01, 1013.01, 1013.01, 1013.01, 99, 1.00, 3, 99, 100.00
L&TINFRA, N4, 18-Jul-2019, 1805.69, 1805.00, 1813.95, 1805.00, 1810.00, 1810.00, 1808.10, 180, 3.25, 6, 160, 88.89
L&TINFRA, N5, 18-Jul-2019, 993.12, 997.01, 997.01, 997.01, 997.01, 997.01, 997.01, 40, 0.40, 2, 40, 100.00
L&TINFRA, N6, 18-Jul-2019, 1882.31, 1875.00, 1890.00, 1875.00, 1883.05, 1883.08, 1883.10, 305, 5.74, 17, 255, 83.61
LAGNAM, SM, 18-Jul-2019, 14.10, 13.60, 13.60, 13.60, 13.60, 13.60, 13.60, 3000, 0.41, 1, 3000, 100.00
LAKSHVILAS, EQ, 18-Jul-2019, 64.15, 63.70, 65.25, 62.60, 63.15, 63.00, 63.87, 711480, 454.44, 3749, 276788, 38.90
LALPATHLAB, EQ, 18-Jul-2019, 1092.90, 1092.00, 1131.00, 1072.65, 1128.00, 1117.20, 1103.71, 37913, 418.45, 5857, 18346, 48.39
LAMBODHARA, EQ, 18-Jul-2019, 36.75, 36.85, 36.85, 34.55, 35.65, 36.05, 35.75, 8127, 2.91, 215, 4305, 52.97
LAOPALA, EQ, 18-Jul-2019, 199.95, 198.50, 201.00, 194.55, 194.55, 195.85, 197.70, 10917, 21.58, 580, 4906, 44.94
LASA, EQ, 18-Jul-2019, 10.60, 10.60, 11.10, 10.60, 11.10, 11.10, 10.98, 21917, 2.41, 132, 17293, 78.90
LAURUSLABS, EQ, 18-Jul-2019, 356.50, 355.00, 358.95, 350.00, 350.05, 350.25, 352.36, 14760, 52.01, 651, 10560, 71.54
LAXMIMACH, EQ, 18-Jul-2019, 4575.70, 4576.00, 4718.00, 4559.55, 4670.00, 4664.95, 4639.39, 2434, 112.92, 939, 1289, 52.96
LEEL, BZ, 18-Jul-2019, 7.00, 7.35, 7.35, 6.65, 6.95, 6.65, 6.79, 39716, 2.70, 152, -, -
LEMONTREE, EQ, 18-Jul-2019, 64.80, 64.95, 64.95, 64.10, 64.55, 64.55, 64.49, 125848, 81.16, 1430, 76821, 61.04
LFIC, EQ, 18-Jul-2019, 60.40, 59.85, 61.90, 57.45, 61.90, 61.90, 58.92, 109, 0.06, 5, 108, 99.08
LGBBROSLTD, EQ, 18-Jul-2019, 294.95, 294.95, 298.95, 265.00, 265.50, 270.15, 273.72, 28519, 78.06, 1430, 22149, 77.66
LGBFORGE, BE, 18-Jul-2019, 3.15, 3.15, 3.25, 3.00, 3.00, 3.10, 3.03, 16629, 0.50, 54, -, -
LIBAS, SM, 18-Jul-2019, 51.50, 50.00, 50.30, 48.95, 48.95, 48.95, 49.56, 12000, 5.95, 4, 12000, 100.00
LIBERTSHOE, EQ, 18-Jul-2019, 108.45, 108.20, 108.90, 105.50, 105.90, 105.80, 106.63, 34880, 37.19, 638, 18594, 53.31
LICHSGFIN, EQ, 18-Jul-2019, 550.10, 550.00, 550.00, 532.00, 532.15, 533.95, 537.85, 1412175, 7595.40, 48826, 592920, 41.99
LICNETFGSC, EQ, 18-Jul-2019, 19.98, 19.98, 20.00, 19.55, 19.85, 19.57, 19.60, 984, 0.19, 22, 973, 98.88
LICNETFN50, EQ, 18-Jul-2019, 120.40, 122.30, 122.30, 119.75, 119.75, 119.75, 121.74, 15, 0.02, 5, 9, 60.00
LICNETFSEN, EQ, 18-Jul-2019, 470.65, 455.20, 482.00, 455.20, 482.00, 482.00, 468.60, 2, 0.01, 2, 1, 50.00
LICNFNHGP, EQ, 18-Jul-2019, 122.25, 122.20, 122.20, 120.10, 121.95, 121.95, 121.78, 8, 0.01, 3, 7, 87.50
LINCOLN, EQ, 18-Jul-2019, 156.05, 154.00, 157.00, 154.00, 157.00, 155.85, 155.06, 3703, 5.74, 146, 2776, 74.97
LINCPEN, EQ, 18-Jul-2019, 197.80, 199.80, 206.00, 194.00, 195.30, 195.30, 200.58, 1156, 2.32, 94, 1009, 87.28
LINDEINDIA, EQ, 18-Jul-2019, 503.60, 500.00, 506.90, 500.00, 504.00, 503.60, 503.95, 6574, 33.13, 318, 4392, 66.81
LIQUIDBEES, EQ, 18-Jul-2019, 1000.00, 1000.00, 1000.01, 999.99, 999.99, 1000.00, 1000.00, 585705, 5857.05, 3145, 381998, 65.22
LIQUIDETF, EQ, 18-Jul-2019, 1000.00, 1000.04, 1000.04, 999.99, 999.99, 1000.00, 1000.00, 7689, 76.89, 45, 4931, 64.13
LOKESHMACH, EQ, 18-Jul-2019, 44.90, 44.55, 46.15, 43.60, 44.00, 44.20, 44.66, 18497, 8.26, 239, 10752, 58.13
LOTUSEYE, EQ, 18-Jul-2019, 19.05, 19.40, 19.80, 18.60, 18.80, 18.80, 18.70, 1083, 0.20, 23, 1076, 99.35
LOVABLE, EQ, 18-Jul-2019, 68.85, 68.50, 68.90, 66.00, 66.10, 66.90, 67.00, 7959, 5.33, 269, 3904, 49.05
LPDC, EQ, 18-Jul-2019, 2.40, 2.40, 2.40, 2.40, 2.40, 2.40, 2.40, 2604, 0.06, 6, 2604, 100.00
LSIL, EQ, 18-Jul-2019, 0.55, 0.55, 0.55, 0.50, 0.55, 0.50, 0.51, 824470, 4.19, 117, 677559, 82.18
LT, EQ, 18-Jul-2019, 1455.45, 1444.80, 1454.95, 1432.00, 1433.00, 1435.20, 1442.40, 2342881, 33793.78, 145136, 1447120, 61.77
LTI, EQ, 18-Jul-2019, 1618.60, 1618.95, 1638.50, 1573.25, 1578.00, 1576.25, 1593.72, 138663, 2209.91, 12678, 91680, 66.12
LTTS, EQ, 18-Jul-2019, 1662.85, 1670.00, 1670.00, 1640.00, 1660.00, 1660.45, 1655.11, 39459, 653.09, 4187, 27956, 70.85
LUMAXIND, EQ, 18-Jul-2019, 1176.00, 1190.00, 1190.00, 1137.00, 1140.00, 1140.80, 1159.61, 1222, 14.17, 327, 794, 64.98
LUMAXTECH, EQ, 18-Jul-2019, 96.80, 96.00, 98.00, 91.50, 91.70, 92.35, 93.55, 21758, 20.36, 616, 13256, 60.92
LUPIN, EQ, 18-Jul-2019, 771.95, 772.40, 775.00, 752.70, 755.75, 756.15, 760.31, 687673, 5228.41, 23382, 214185, 31.15
LUXIND, EQ, 18-Jul-2019, 1112.70, 1113.00, 1125.00, 1100.45, 1120.00, 1118.80, 1116.31, 43977, 490.92, 1671, 10930, 24.85
LYKALABS, EQ, 18-Jul-2019, 20.75, 20.65, 21.50, 20.45, 21.50, 20.65, 20.66, 3934, 0.81, 45, 3689, 93.77
LYPSAGEMS, EQ, 18-Jul-2019, 4.70, 4.70, 4.90, 4.55, 4.70, 4.60, 4.60, 7390, 0.34, 31, 6694, 90.58
M&M, EQ, 18-Jul-2019, 617.95, 613.90, 616.45, 595.00, 598.50, 597.40, 601.71, 4915489, 29577.19, 100673, 2837989, 57.74
M&MFIN, EQ, 18-Jul-2019, 384.00, 384.40, 384.85, 375.60, 376.20, 377.40, 378.86, 736939, 2792.00, 17280, 256158, 34.76
M&MFIN, N2, 18-Jul-2019, 1008.30, 1010.10, 1011.40, 1010.10, 1010.11, 1010.79, 1010.66, 259, 2.62, 7, 259, 100.00
M100, EQ, 18-Jul-2019, 17.87, 17.89, 17.90, 17.60, 17.72, 17.61, 17.67, 28488, 5.03, 129, 21021, 73.79
M15RD, MF, 18-Jul-2019, 6.31, 6.30, 6.30, 6.30, 6.30, 6.30, 6.30, 500, 0.03, 1, 500, 100.00
M50, EQ, 18-Jul-2019, 113.25, 114.07, 114.07, 112.66, 113.70, 113.55, 113.61, 159, 0.18, 14, 129, 81.13
MAANALU, EQ, 18-Jul-2019, 77.45, 77.50, 78.45, 74.50, 75.00, 75.30, 76.41, 2981, 2.28, 103, 2555, 85.71
MACPOWER, SM, 18-Jul-2019, 122.05, 120.00, 120.00, 115.00, 120.00, 120.00, 119.00, 2500, 2.98, 5, 2000, 80.00
MADHAV, EQ, 18-Jul-2019, 34.30, 34.30, 35.00, 32.00, 34.50, 34.35, 34.57, 1017, 0.35, 33, 511, 50.25
MADHUCON, EQ, 18-Jul-2019, 5.50, 5.30, 5.50, 5.25, 5.50, 5.40, 5.31, 27219, 1.45, 53, 21380, 78.55
MADRASFERT, EQ, 18-Jul-2019, 22.90, 22.90, 22.95, 21.70, 22.15, 21.90, 22.20, 133688, 29.67, 792, 45111, 33.74
MAGADSUGAR, EQ, 18-Jul-2019, 115.85, 114.15, 118.00, 110.10, 110.10, 110.35, 111.40, 35569, 39.62, 439, 24684, 69.40
MAGMA, EQ, 18-Jul-2019, 95.65, 95.00, 95.50, 86.90, 87.75, 87.75, 89.36, 317582, 283.78, 4094, 184957, 58.24
